"id","user_id","end_date","price","created_at","refund_id","point","target_customer"
237,6482,"2019-08-12 00:00:00",100,"2019-07-12 18:13:14.541176",NULL,NULL,"personal"
239,6574,"2019-08-12 00:00:00",100,"2019-07-12 19:26:47.48333",NULL,NULL,"personal"
252,6704,"2019-08-16 00:00:00",100,"2019-07-16 09:21:31.787566",NULL,NULL,"personal"
258,4709,"2019-08-16 00:00:00",9900,"2019-07-17 07:00:11.666693",NULL,NULL,"personal"
259,6748,"2019-08-17 00:00:00",100,"2019-07-17 10:33:39.975256",NULL,NULL,"personal"
270,1417,"2019-08-18 00:00:00",100,"2019-07-18 15:59:47.058971",NULL,NULL,"personal"
283,2290,"2019-08-18 00:00:00",100,"2019-07-18 22:41:39.99345",NULL,NULL,"personal"
286,4812,"2019-08-18 00:00:00",9900,"2019-07-19 07:00:07.231473",NULL,NULL,"personal"
287,6843,"2019-08-20 00:00:00",100,"2019-07-20 05:25:01.976404",NULL,NULL,"personal"
289,5840,"2019-08-19 00:00:00",9900,"2019-07-20 07:00:07.153788",10,0,"middleBiz"
291,6856,"2019-08-20 00:00:00",19000,"2019-07-20 19:54:20.228551",NULL,NULL,"smallBiz"
306,6868,"2019-08-21 00:00:00",100,"2019-07-21 01:59:05.153926",NULL,NULL,"personal"
307,6869,"2019-08-21 00:00:00",100,"2019-07-21 13:31:31.880642",NULL,NULL,"personal"
308,6770,"2019-08-21 00:00:00",100,"2019-07-21 14:22:09.025398",NULL,NULL,"personal"
311,6874,"2019-08-21 00:00:00",100,"2019-07-21 17:34:46.158711",NULL,NULL,"personal"
314,6910,"2019-08-22 00:00:00",100,"2019-07-22 21:10:10.340639",NULL,NULL,"personal"
315,6955,"2019-08-24 00:00:00",100,"2019-07-24 13:46:08.251507",NULL,NULL,"personal"
338,6975,"2019-08-24 00:00:00",100,"2019-07-24 23:08:39.941774",NULL,NULL,"personal"
339,4484,"2019-08-24 00:00:00",9900,"2019-07-25 07:00:06.704036",NULL,NULL,"personal"
341,6989,"2019-08-25 00:00:00",100,"2019-07-25 17:24:55.430233",NULL,NULL,"personal"
347,7026,"2019-08-26 00:00:00",100,"2019-07-26 15:01:35.949239",NULL,NULL,"personal"
391,5950,"2019-08-26 00:00:00",40000,"2019-07-27 07:00:07.267738",NULL,NULL,"smallBiz"
392,7062,"2019-08-27 00:00:00",100,"2019-07-27 19:11:56.96198",NULL,NULL,"personal"
400,7068,"2019-08-27 00:00:00",100,"2019-07-27 20:25:06.251447",NULL,NULL,"personal"
407,7073,"2019-08-28 00:00:00",100,"2019-07-28 01:30:27.823238",NULL,NULL,"personal"
408,2150,"2019-08-28 00:00:00",100,"2019-07-28 18:07:13.015702",NULL,NULL,"personal"
414,7110,"2019-08-28 00:00:00",100,"2019-07-28 23:10:40.924994",NULL,NULL,"personal"
420,7129,"2019-08-29 00:00:00",100,"2019-07-29 18:36:58.940978",NULL,NULL,"personal"
432,6209,"2019-08-30 00:00:00",9900,"2019-07-31 07:00:07.50126",NULL,NULL,"personal"
433,7198,"2019-08-31 00:00:00",100,"2019-07-31 11:14:58.914967",NULL,NULL,"personal"
466,7230,"2019-09-01 00:00:00",100,"2019-08-01 11:36:33.338739",NULL,NULL,"personal"
471,7239,"2019-09-01 00:00:00",100,"2019-08-01 14:16:31.662474",NULL,NULL,"personal"
476,6241,"2019-09-01 00:00:00",9900,"2019-08-02 07:00:08.625995",NULL,NULL,"personal"
477,6235,"2019-09-02 00:00:00",100,"2019-08-02 15:20:09.540903",NULL,NULL,"personal"
479,256,"2019-09-02 00:00:00",100,"2019-08-02 15:21:21.839006",NULL,NULL,"personal"
516,7311,"2019-09-03 00:00:00",100,"2019-08-03 17:03:45.164246",NULL,NULL,"personal"
527,6279,"2019-09-03 00:00:00",9900,"2019-08-04 07:00:07.030088",NULL,NULL,"personal"
528,6991,"2019-09-04 00:00:00",100,"2019-08-04 15:07:24.595782",NULL,NULL,"personal"
530,7336,"2019-09-05 00:00:00",100,"2019-08-05 00:05:43.599055",NULL,NULL,"personal"
573,7299,"2019-09-05 00:00:00",100,"2019-08-05 19:59:34.358034",NULL,NULL,"personal"
580,7395,"2019-09-06 00:00:00",19000,"2019-08-06 05:38:42.161051",NULL,NULL,"smallBiz"
583,7401,"2019-09-06 00:00:00",100,"2019-08-06 11:39:57.51793",NULL,NULL,"personal"
584,7402,"2019-09-06 00:00:00",100,"2019-08-06 11:40:31.286253",NULL,NULL,"personal"
585,7179,"2019-09-06 00:00:00",100,"2019-08-06 11:50:14.742311",NULL,NULL,"personal"
613,6379,"2019-09-06 00:00:00",9900,"2019-08-07 07:00:07.38772",NULL,NULL,"personal"
619,1,"2019-09-09 00:00:00",19000,"2019-08-09 10:04:42.723147",13,0,"smallBiz"
620,1,"2019-09-09 00:00:00",19000,"2019-08-09 10:04:44.120191",12,0,"smallBiz"
621,7485,"2019-09-09 00:00:00",49000,"2019-08-09 18:06:34.772362",NULL,NULL,"smallBiz"
642,7586,"2019-09-10 00:00:00",100,"2019-08-10 22:01:48.508901",NULL,NULL,"personal"
644,3551,"2019-09-11 00:00:00",100,"2019-08-11 11:39:05.260143",NULL,NULL,"personal"
645,7607,"2019-09-11 00:00:00",100,"2019-08-11 11:56:49.058252",NULL,NULL,"personal"
646,7647,"2019-09-12 00:00:00",100,"2019-08-12 00:38:49.134657",NULL,NULL,"personal"
651,6503,"2019-09-13 00:00:00",100,"2019-08-13 02:53:36.287541",NULL,NULL,"personal"
663,7688,"2019-09-13 00:00:00",49000,"2019-08-13 18:24:26.719298",NULL,NULL,"smallBiz"
673,7762,"2019-09-13 00:00:00",100,"2019-08-13 23:21:24.562538",NULL,NULL,"personal"
682,6574,"2019-09-13 00:00:00",9900,"2019-08-14 07:00:07.794489",NULL,NULL,"personal"
683,7791,"2019-09-14 00:00:00",100,"2019-08-14 14:47:04.146759",NULL,NULL,"personal"
722,7829,"2019-09-15 00:00:00",100,"2019-08-15 11:56:53.507434",NULL,NULL,"personal"
732,7854,"2019-09-15 00:00:00",100,"2019-08-15 16:38:08.497386",NULL,NULL,"personal"
735,7880,"2019-09-15 00:00:00",100,"2019-08-15 23:50:54.283922",NULL,NULL,"personal"
739,6083,"2019-09-17 00:00:00",100,"2019-08-17 00:25:48.157103",NULL,NULL,"personal"
742,6704,"2019-09-16 00:00:00",9900,"2019-08-17 07:00:10.232705",NULL,NULL,"personal"
743,4709,"2019-09-16 00:00:00",9900,"2019-08-17 07:00:11.551956",NULL,NULL,"personal"
763,6748,"2019-09-17 00:00:00",9900,"2019-08-18 07:00:07.282619",NULL,NULL,"personal"
764,7958,"2019-09-18 00:00:00",100,"2019-08-18 09:44:42.170639",NULL,NULL,"personal"
775,7960,"2019-09-18 00:00:00",100,"2019-08-18 09:58:34.619865",NULL,NULL,"personal"
778,1417,"2019-09-18 00:00:00",9900,"2019-08-19 07:00:06.993204",NULL,NULL,"personal"
784,2830,"2019-09-19 00:00:00",100,"2019-08-19 14:00:57.671272",NULL,NULL,"personal"
789,8025,"2019-09-19 00:00:00",100,"2019-08-19 16:39:26.245749",NULL,NULL,"personal"
803,8089,"2019-09-21 00:00:00",100,"2019-08-21 01:33:41.959792",NULL,NULL,"personal"
805,8113,"2019-09-21 00:00:00",100,"2019-08-21 12:06:50.756047",NULL,NULL,"personal"
807,8106,"2019-09-21 00:00:00",100,"2019-08-21 15:51:19.696672",NULL,NULL,"personal"
812,8143,"2019-09-21 00:00:00",100,"2019-08-21 18:16:22.058037",NULL,NULL,"personal"
826,8175,"2019-09-22 00:00:00",100,"2019-08-22 13:17:07.30331",NULL,NULL,"personal"
831,8214,"2019-09-22 00:00:00",100,"2019-08-22 23:02:51.178996",NULL,NULL,"personal"
836,8227,"2019-09-23 00:00:00",100,"2019-08-23 18:21:32.968254",NULL,NULL,"personal"
883,6869,"2019-09-24 00:00:00",9900,"2019-08-25 07:00:08.067586",NULL,NULL,"personal"
884,6770,"2019-09-24 00:00:00",9900,"2019-08-25 07:00:10.331122",NULL,NULL,"personal"
885,6874,"2019-09-24 00:00:00",9900,"2019-08-25 07:00:11.642896",NULL,NULL,"personal"
886,6910,"2019-09-24 00:00:00",9900,"2019-08-25 07:00:12.798134",NULL,NULL,"personal"
887,6975,"2019-09-24 00:00:00",9900,"2019-08-25 07:00:13.924903",NULL,NULL,"personal"
888,4484,"2019-09-24 00:00:00",9900,"2019-08-25 07:00:15.043774",NULL,NULL,"personal"
893,8314,"2019-09-25 00:00:00",100,"2019-08-25 23:47:03.160813",NULL,NULL,"personal"
894,6989,"2019-09-25 00:00:00",9900,"2019-08-26 07:00:07.733869",NULL,NULL,"personal"
921,8330,"2019-09-26 00:00:00",100,"2019-08-26 16:16:08.004444",NULL,NULL,"personal"
923,7026,"2019-09-26 00:00:00",9900,"2019-08-27 07:00:06.804058",NULL,NULL,"personal"
924,5950,"2019-09-26 00:00:00",40000,"2019-08-27 07:00:07.908997",NULL,NULL,"smallBiz"
932,8396,"2019-09-27 00:00:00",100,"2019-08-27 23:58:09.644863",NULL,NULL,"personal"
963,8403,"2019-09-28 00:00:00",100,"2019-08-28 05:16:10.034359",NULL,NULL,"personal"
1004,8426,"2019-09-28 00:00:00",100,"2019-08-28 15:41:27.903806",NULL,NULL,"personal"
1011,8437,"2019-09-28 00:00:00",100,"2019-08-28 17:49:11.484168",NULL,NULL,"personal"
1022,8455,"2019-09-29 00:00:00",100,"2019-08-29 01:45:55.918723",NULL,NULL,"personal"
1024,8473,"2019-09-29 00:00:00",100,"2019-08-29 21:14:28.217471",NULL,NULL,"personal"
1028,8484,"2019-09-30 00:00:00",100,"2019-08-30 04:32:09.572534",NULL,NULL,"personal"
1032,7062,"2019-09-30 00:00:00",9900,"2019-08-31 07:00:14.305727",NULL,NULL,"personal"
1038,8527,"2019-10-01 00:00:00",100,"2019-09-01 16:21:51.634754",NULL,NULL,"personal"
1041,8560,"2019-10-02 00:00:00",100,"2019-09-02 01:08:24.223195",NULL,NULL,"personal"
1042,8561,"2019-10-02 00:00:00",100,"2019-09-02 01:47:03.693211",NULL,NULL,"personal"
1043,6241,"2019-10-01 00:00:00",9900,"2019-09-02 07:00:08.213114",NULL,NULL,"personal"
1044,6209,"2019-10-01 00:00:00",9900,"2019-09-02 07:00:13.867024",14,0,"middleBiz"
1045,7198,"2019-10-01 00:00:00",9900,"2019-09-02 07:00:15.61688",NULL,NULL,"personal"
1046,7230,"2019-10-01 00:00:00",9900,"2019-09-02 07:00:17.17214",NULL,NULL,"personal"
1047,7239,"2019-10-01 00:00:00",9900,"2019-09-02 07:00:18.821904",NULL,NULL,"personal"
1048,8573,"2019-10-02 00:00:00",100,"2019-09-02 10:59:02.800199",NULL,NULL,"personal"
1060,6235,"2019-10-02 00:00:00",9900,"2019-09-03 07:00:07.844933",NULL,NULL,"personal"
1061,256,"2019-10-02 00:00:00",9900,"2019-09-03 07:00:09.116995",NULL,NULL,"personal"
1062,8604,"2019-10-03 00:00:00",100,"2019-09-03 13:39:11.017694",NULL,NULL,"personal"
1067,8626,"2019-10-03 00:00:00",100,"2019-09-03 22:07:27.806115",NULL,NULL,"personal"
1076,8634,"2019-10-04 00:00:00",19000,"2019-09-04 00:03:27.21071",15,0,"smallBiz"
1087,6279,"2019-10-03 00:00:00",9900,"2019-09-04 07:00:11.136436",NULL,NULL,"personal"
1088,8202,"2019-10-04 00:00:00",19000,"2019-09-04 15:53:31.565154",NULL,NULL,"smallBiz"
1089,8656,"2019-10-04 00:00:00",100,"2019-09-04 18:29:05.476175",NULL,NULL,"personal"
1091,8407,"2019-10-04 00:00:00",100,"2019-09-04 18:39:43.008604",NULL,NULL,"personal"
1094,8660,"2019-10-04 00:00:00",100,"2019-09-04 18:54:09.677581",NULL,NULL,"personal"
1095,8659,"2019-10-04 00:00:00",100,"2019-09-04 18:56:50.406926",NULL,NULL,"personal"
1097,8667,"2019-10-04 00:00:00",100,"2019-09-04 20:27:34.902609",NULL,NULL,"personal"
1111,8634,"2019-10-05 00:00:00",100,"2019-09-05 04:32:52.10276",NULL,NULL,"personal"
1113,8676,"2019-10-05 00:00:00",100,"2019-09-05 10:26:25.077119",NULL,NULL,"personal"
1119,8692,"2019-10-05 00:00:00",100,"2019-09-05 14:16:24.270855",NULL,NULL,"personal"
1121,8699,"2019-10-05 00:00:00",100,"2019-09-05 19:32:00.698571",NULL,NULL,"personal"
1134,8722,"2019-10-06 00:00:00",100,"2019-09-06 10:44:21.117189",NULL,NULL,"personal"
1138,7299,"2019-10-06 00:00:00",9900,"2019-09-07 07:00:07.716711",NULL,NULL,"personal"
1139,7401,"2019-10-06 00:00:00",9900,"2019-09-07 07:00:08.80906",NULL,NULL,"personal"
1140,7402,"2019-10-06 00:00:00",9900,"2019-09-07 07:00:09.952995",NULL,NULL,"personal"
1141,7179,"2019-10-06 00:00:00",9900,"2019-09-07 07:00:11.412918",NULL,NULL,"personal"
1142,6379,"2019-10-06 00:00:00",9900,"2019-09-07 07:00:12.988047",NULL,NULL,"personal"
1143,8767,"2019-10-07 00:00:00",100,"2019-09-07 14:44:53.443682",NULL,NULL,"personal"
1150,8779,"2019-10-07 00:00:00",100,"2019-09-07 21:30:04.374773",NULL,NULL,"personal"
1153,8805,"2019-10-08 00:00:00",100,"2019-09-08 16:05:42.019082",NULL,NULL,"personal"
1154,8806,"2019-10-08 00:00:00",100,"2019-09-08 16:05:58.463303",NULL,NULL,"personal"
1162,8815,"2019-10-08 00:00:00",100,"2019-09-08 20:33:34.591722",NULL,NULL,"personal"
1173,8830,"2019-10-09 00:00:00",100,"2019-09-09 15:06:34.475632",NULL,NULL,"personal"
1179,7244,"2019-10-09 00:00:00",100,"2019-09-09 16:45:18.497877",NULL,NULL,"personal"
1189,8840,"2019-10-09 00:00:00",100,"2019-09-09 18:22:17.840338",NULL,NULL,"personal"
1195,8742,"2019-10-10 00:00:00",100,"2019-09-10 03:58:53.150096",NULL,NULL,"personal"
1238,8831,"2019-10-10 00:00:00",100,"2019-09-10 04:42:30.598573",NULL,NULL,"personal"
1240,7485,"2019-10-09 00:00:00",49000,"2019-09-10 07:00:27.018692",16,0,"smallBiz"
1241,8775,"2019-10-10 00:00:00",100,"2019-09-10 13:27:11.68213",NULL,NULL,"personal"
1260,7586,"2019-10-10 00:00:00",9900,"2019-09-11 07:00:09.756863",NULL,NULL,"personal"
1267,8919,"2019-10-12 00:00:00",100,"2019-09-12 00:53:02.722651",NULL,NULL,"personal"
1273,8926,"2019-10-12 00:00:00",100,"2019-09-12 06:16:33.159541",NULL,NULL,"personal"
1274,3551,"2019-10-11 00:00:00",9900,"2019-09-12 07:00:07.074553",NULL,NULL,"personal"
1275,8944,"2019-10-12 00:00:00",100,"2019-09-12 17:14:57.36489",NULL,NULL,"personal"
1276,8961,"2019-10-13 00:00:00",100,"2019-09-13 01:24:05.732303",NULL,NULL,"personal"
1287,8965,"2019-10-13 00:00:00",100,"2019-09-13 11:18:56.853036",NULL,NULL,"personal"
1303,8991,"2019-10-14 00:00:00",100,"2019-09-14 05:53:45.350489",NULL,NULL,"personal"
1320,6503,"2019-10-13 00:00:00",9900,"2019-09-14 07:00:12.910394",NULL,NULL,"personal"
1321,7791,"2019-10-14 00:00:00",9900,"2019-09-15 07:00:07.297732",NULL,NULL,"personal"
1322,9016,"2019-10-15 00:00:00",100,"2019-09-15 13:01:00.441083",NULL,NULL,"personal"
1332,8494,"2019-10-15 00:00:00",100,"2019-09-15 23:15:13.917578",NULL,NULL,"personal"
1336,7829,"2019-10-15 00:00:00",9900,"2019-09-16 07:00:14.299978",NULL,NULL,"personal"
1337,7854,"2019-10-15 00:00:00",9900,"2019-09-16 07:00:15.604113",17,0,"middleBiz"
1338,8758,"2019-10-16 00:00:00",100,"2019-09-16 14:07:18.182557",NULL,NULL,"personal"
1346,9081,"2019-10-17 00:00:00",100,"2019-09-17 02:16:36.845982",NULL,NULL,"personal"
1351,6704,"2019-10-16 00:00:00",9900,"2019-09-17 07:00:07.628603",NULL,NULL,"personal"
1352,4709,"2019-10-16 00:00:00",9900,"2019-09-17 07:00:09.057449",NULL,NULL,"personal"
1353,9096,"2019-10-17 00:00:00",100,"2019-09-17 08:34:35.137857",NULL,NULL,"personal"
1363,6522,"2019-10-17 00:00:00",100,"2019-09-17 17:08:55.106542",NULL,NULL,"personal"
1365,9118,"2019-10-17 00:00:00",100,"2019-09-17 19:57:53.391909",NULL,NULL,"personal"
1374,6061,"2019-10-17 00:00:00",100,"2019-09-17 23:17:33.462751",NULL,NULL,"personal"
1384,9086,"2019-10-17 00:00:00",100,"2019-09-17 23:33:30.587368",NULL,NULL,"personal"
1408,9102,"2019-10-18 00:00:00",100,"2019-09-18 10:36:04.464566",NULL,NULL,"personal"
1414,9151,"2019-10-18 00:00:00",100,"2019-09-18 15:17:53.849192",NULL,NULL,"personal"
1415,9158,"2019-10-18 00:00:00",100,"2019-09-18 16:27:27.06969",NULL,NULL,"personal"
1416,9164,"2019-10-18 00:00:00",100,"2019-09-18 19:32:05.286501",NULL,NULL,"personal"
1418,9174,"2019-10-18 00:00:00",100,"2019-09-18 22:11:02.348087",NULL,NULL,"personal"
1432,9200,"2019-10-19 00:00:00",100,"2019-09-19 15:20:57.613025",NULL,NULL,"personal"
1460,9211,"2019-10-19 00:00:00",100,"2019-09-19 20:28:59.068709",NULL,NULL,"personal"
